                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61433,                 1.8046,                  1.113,                0.67909,                 0.6953,                 0.7259,                0.62867,                0.53515,                 1.4602,                 1.0196,             0.00011073,             0.00011073,             0.00011073
                      2,                0.57086,                 1.1958,                 1.0753,                0.65946,                0.70344,                0.75064,                0.62247,                0.68929,                 1.1913,                 1.1126,             0.00021734,             0.00021734,             0.00021734
                      3,                0.55915,                  1.101,                  1.063,                0.81803,                0.80054,                0.87112,                0.73129,                0.67189,                  0.805,                 1.0671,             0.00031956,             0.00031956,             0.00031956
                      4,                0.53481,                0.99831,                 1.0468,                0.85269,                0.77857,                0.88632,                0.76723,                0.58608,                0.78217,                 1.0396,             0.00031322,             0.00031322,             0.00031322
                      5,                0.50594,                0.89837,                 1.0316,                0.77566,                0.81847,                0.86343,                0.73627,                0.59288,                0.71713,                  1.022,             0.00031322,             0.00031322,             0.00031322
                      6,                0.48188,                0.81631,                 1.0192,                  0.894,                0.78128,                0.89943,                0.75108,                0.65423,                 0.6975,                 1.0375,             0.00030663,             0.00030663,             0.00030663
                      7,                0.46371,                0.75771,                 1.0079,                0.90305,                0.85118,                0.92951,                0.80198,                0.56957,                0.54473,                 1.0185,             0.00030003,             0.00030003,             0.00030003
                      8,                0.45157,                0.71173,                 1.0036,                0.88397,                0.84653,                0.91711,                0.77369,                0.64541,                0.56376,                 1.0449,             0.00029344,             0.00029344,             0.00029344
                      9,                0.43289,                0.66479,                0.99159,                0.90627,                0.82727,                0.93406,                0.79004,                 0.6077,                 0.6234,                 1.0115,             0.00028685,             0.00028685,             0.00028685
                     10,                0.42764,                0.64219,                0.98783,                0.89949,                0.85782,                0.95676,                0.82521,                0.57166,                0.53365,                  1.014,             0.00028025,             0.00028025,             0.00028025
