                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.3221,                0.34292,                0.93698,                0.96305,                0.92497,                 0.9751,                0.85011,                0.57838,                0.34443,                 1.0045,             0.00010882,             0.00010882,             0.00010882
                     37,                0.31571,                 0.3372,                0.93603,                0.95112,                0.92916,                 0.9797,                0.83393,                0.61875,                0.36067,                 1.0212,             0.00010223,             0.00010223,             0.00010223
                     38,                0.30869,                0.32578,                0.93219,                 0.9473,                  0.906,                0.97189,                0.83246,                0.60541,                0.38407,                 1.0135,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     39,                 0.3108,                0.31789,                0.93276,                0.93837,                0.94947,                0.97939,                0.84493,                 0.6121,                0.33811,                 1.0248,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     40,                0.30501,                0.31274,                0.92867,                0.95568,                0.92071,                0.97985,                0.84774,                0.59281,                0.34271,                 1.0079,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     41,                0.21277,                0.12916,                0.86993,                0.94013,                0.92864,                0.96898,                0.82312,                0.62823,                0.36811,                 1.0321,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     42,                0.21106,                0.12504,                0.87325,                0.93576,                0.92074,                0.96784,                 0.8329,                0.60524,                0.37739,                 1.0015,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     43,                0.20619,                0.12296,                0.86799,                 0.9417,                0.92052,                0.97454,                0.83388,                 0.6331,                0.37359,                 1.0395,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     44,                0.20031,                0.11836,                0.86541,                0.92727,                0.93081,                0.96825,                0.83298,                0.61098,                0.37298,                 1.0248,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     45,                0.19478,                0.11445,                0.86393,                0.95496,                0.94776,                0.97814,                0.84741,                0.59675,                0.32859,                 1.0081,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     46,                0.19325,                0.10984,                0.86392,                0.96477,                0.93179,                0.98285,                0.84845,                0.61465,                0.31875,                 1.0272,              4.289e-05,              4.289e-05,              4.289e-05
                     47,                 0.1893,                0.10751,                0.86219,                0.96732,                 0.9319,                0.98334,                0.84514,                0.60149,                0.31796,                 1.0172,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     48,                 0.1854,                0.10415,                  0.864,                0.96929,                0.93136,                0.97916,                0.84119,                  0.609,                0.31736,                  1.022,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     49,                0.18059,                0.10126,                0.85729,                0.96963,                0.94051,                0.97954,                0.84041,                0.60349,                 0.3086,                 1.0216,              2.311e-05,              2.311e-05,              2.311e-05
                     50,                0.17596,                0.09862,                0.85773,                0.97126,                0.93662,                0.97977,                0.84496,                0.60363,                0.31172,                 1.0234,             1.6517e-05,             1.6517e-05,             1.6517e-05
