                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64764,                 1.8122,                   1.13,                0.74436,                0.78403,                0.84147,                0.70796,                0.68115,                 1.1797,                 1.0929,             0.00011071,             0.00011071,             0.00011071
                      2,                0.58124,                 1.1911,                 1.0789,                0.78832,                0.81217,                0.86175,                0.73036,                0.65514,                  1.027,                 1.0576,             0.00021732,             0.00021732,             0.00021732
                      3,                0.57531,                 1.0824,                 1.0679,                0.75234,                0.82382,                0.89133,                0.74142,                 0.6982,                0.74678,                 1.1017,             0.00031953,             0.00031953,             0.00031953
                      4,                0.54861,                0.98893,                 1.0539,                0.81639,                 0.8225,                0.87638,                0.73491,                0.64578,                0.85476,                 1.0453,             0.00031322,             0.00031322,             0.00031322
                      5,                0.52097,                0.88565,                 1.0385,                0.81065,                0.85378,                0.91641,                0.79075,                0.56672,                 0.6958,                 1.0122,             0.00031322,             0.00031322,             0.00031322
                      6,                0.50054,                0.83716,                 1.0279,                0.85303,                0.88494,                 0.9466,                0.82749,                0.57113,                0.54489,                  1.005,             0.00030663,             0.00030663,             0.00030663
                      7,                0.48004,                0.76768,                 1.0131,                0.87146,                0.89505,                 0.9468,                0.79004,                0.65825,                0.54645,                 1.0469,             0.00030003,             0.00030003,             0.00030003
                      8,                0.45757,                0.71583,                 1.0017,                0.93721,                0.84363,                0.94242,                 0.7956,                0.64415,                0.49737,                 1.0379,             0.00029344,             0.00029344,             0.00029344
                      9,                0.44889,                0.68109,                0.99591,                0.93242,                0.91532,                0.97251,                0.83248,                 0.6273,                0.44003,                 1.0204,             0.00028685,             0.00028685,             0.00028685
                     10,                0.44156,                0.66123,                0.99477,                 0.9313,                0.91728,                0.97437,                0.83494,                0.61365,                0.40581,                 1.0155,             0.00028025,             0.00028025,             0.00028025
