                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70524,                 2.5929,                 1.1794,                0.52341,                0.61158,                0.62464,                0.53465,                0.55633,                  1.508,                0.90158,              0.0033248,              0.0033248,              0.0033248
                      2,                0.56577,                 1.2742,                 1.0324,                0.72101,                0.73179,                0.82524,                0.69108,                0.65926,                 1.0345,                0.89831,              0.0066252,              0.0066252,              0.0066252
                      3,                 0.6311,                  1.182,                 1.0539,                0.61004,                0.77365,                0.74367,                0.57849,                0.88421,                 1.2059,                 1.1161,              0.0098926,              0.0098926,              0.0098926
                      4,                0.65588,                 1.1937,                 1.0648,                0.72954,                0.79566,                0.84854,                0.70399,                  0.676,                 1.0404,                0.94161,              0.0098515,              0.0098515,              0.0098515
                      5,                0.63549,                  1.084,                 1.0572,                0.77628,                 0.8222,                0.86313,                0.68784,                0.83794,                0.96738,                 1.0502,              0.0098515,              0.0098515,              0.0098515
                      6,                0.61293,                 1.0123,                 1.0451,                0.82898,                0.84196,                0.89539,                0.72751,                0.72908,                0.83756,                0.96871,               0.009802,               0.009802,               0.009802
                      7,                0.58163,                0.93417,                 1.0284,                0.81789,                0.83382,                0.90315,                0.72034,                0.78902,                 0.8178,                0.99698,              0.0097525,              0.0097525,              0.0097525
                      8,                0.55751,                0.86743,                 1.0159,                0.71917,                0.86704,                0.87434,                0.74165,                0.67493,                0.75854,                 0.9419,               0.009703,               0.009703,               0.009703
                      9,                0.54789,                0.83157,                 1.0112,                0.84624,                0.87942,                0.90964,                0.73768,                0.74512,                0.75141,                0.97192,              0.0096535,              0.0096535,              0.0096535
                     10,                0.53183,                0.80001,                 1.0044,                0.86079,                 0.9037,                 0.9311,                0.78352,                0.67862,                0.66531,                0.93317,               0.009604,               0.009604,               0.009604
                     11,                0.51922,                0.76627,                  1.002,                0.90481,                0.90475,                0.94999,                 0.7789,                0.73842,                0.60616,                0.96575,              0.0095545,              0.0095545,              0.0095545
                     12,                0.50614,                0.74714,                0.99787,                0.86503,                0.86946,                0.91627,                0.74699,                0.74847,                0.71796,                0.96914,               0.009505,               0.009505,               0.009505
                     13,                0.48983,                0.71852,                0.99023,                0.90137,                0.86792,                 0.9455,                 0.7829,                0.67341,                0.61808,                0.90477,              0.0094555,              0.0094555,              0.0094555
                     14,                0.48752,                0.71027,                0.98832,                0.94611,                0.83503,                0.93635,                0.78892,                0.68053,                0.61254,                0.92301,               0.009406,               0.009406,               0.009406
                     15,                0.48831,                 0.6965,                0.98671,                0.87566,                0.90016,                0.94189,                0.78875,                0.67329,                0.58416,                0.91569,              0.0093565,              0.0093565,              0.0093565
                     16,                0.48091,                0.67074,                0.98642,                0.92473,                0.92235,                0.95861,                0.79556,                0.69475,                0.54288,                 0.9242,               0.009307,               0.009307,               0.009307
                     17,                0.46602,                0.66539,                 0.9812,                0.93652,                0.90516,                0.96575,                0.79832,                0.70584,                0.51452,                0.94452,              0.0092575,              0.0092575,              0.0092575
                     18,                0.46272,                0.64301,                0.97828,                0.88787,                0.91617,                0.94223,                0.80392,                0.63414,                0.55728,                 0.8941,               0.009208,               0.009208,               0.009208
                     19,                0.46142,                0.63067,                 0.9789,                0.93994,                0.93147,                0.96734,                0.81567,                0.68125,                0.50594,                0.93891,              0.0091585,              0.0091585,              0.0091585
                     20,                0.45489,                0.62404,                0.97568,                0.92946,                0.91662,                0.96607,                0.79688,                0.72236,                0.51297,                 0.9313,               0.009109,               0.009109,               0.009109
                     21,                0.45457,                0.61653,                0.97581,                0.93313,                0.92681,                 0.9727,                0.81104,                0.68769,                0.50536,                0.91831,              0.0090595,              0.0090595,              0.0090595
                     22,                0.44776,                0.60787,                0.97354,                0.93619,                 0.9083,                0.96481,                0.80496,                  0.715,                 0.5674,                 0.9339,                0.00901,                0.00901,                0.00901
                     23,                0.44375,                0.59681,                0.97247,                0.92752,                0.94058,                 0.9723,                0.81943,                0.68408,                0.47928,                0.94816,              0.0089605,              0.0089605,              0.0089605
                     24,                0.43966,                0.58423,                0.97041,                 0.9323,                0.94222,                0.97042,                0.82684,                0.64745,                0.50023,                0.89286,               0.008911,               0.008911,               0.008911
                     25,                0.43765,                0.57416,                0.96756,                0.92721,                0.92066,                0.96353,                 0.8017,                 0.7105,                0.49864,                0.91603,              0.0088615,              0.0088615,              0.0088615
                     26,                0.43369,                0.57119,                0.96399,                 0.9384,                0.92654,                0.97009,                0.81198,                0.70563,                0.48656,                0.94219,               0.008812,               0.008812,               0.008812
                     27,                0.42776,                0.55887,                0.96363,                 0.9173,                0.91629,                0.94918,                0.80171,                0.66486,                0.54623,                0.92141,              0.0087625,              0.0087625,              0.0087625
                     28,                0.42468,                0.55047,                 0.9652,                0.93085,                0.92806,                0.96781,                0.79691,                0.72983,                0.49586,                0.94202,               0.008713,               0.008713,               0.008713
                     29,                0.43032,                0.55627,                0.96711,                0.95103,                0.93074,                0.97552,                0.83009,                0.66337,                0.44579,                0.91158,              0.0086635,              0.0086635,              0.0086635
                     30,                0.42591,                0.53913,                0.96332,                0.92893,                 0.9429,                0.97191,                0.81116,                0.69548,                0.47741,                0.92254,               0.008614,               0.008614,               0.008614
                     31,                0.41378,                0.53337,                0.95852,                0.94485,                0.91704,                0.96312,                0.82005,                0.65593,                0.47521,                0.90378,              0.0085645,              0.0085645,              0.0085645
                     32,                0.41516,                0.52718,                0.95934,                0.94992,                0.94287,                0.97194,                0.84192,                0.60208,                0.41674,                0.86793,               0.008515,               0.008515,               0.008515
                     33,                0.40987,                0.51382,                0.95585,                0.94936,                0.93527,                0.97733,                0.82581,                0.67944,                0.44763,                0.91357,              0.0084655,              0.0084655,              0.0084655
                     34,                0.41005,                0.51753,                0.95855,                0.94303,                0.93568,                0.97233,                0.83383,                0.63293,                0.43918,                0.87981,               0.008416,               0.008416,               0.008416
