                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.64408,                 0.6705,                 1.0342,                0.93826,                0.93921,                0.95847,                0.79276,                 0.8141,                0.48395,                 1.0583,             0.00022421,             0.00022421,             0.00022421
                     36,                 0.6319,                 0.6706,                 1.0298,                0.90085,                0.86363,                0.94455,                0.79874,                0.73379,                0.53604,                  1.003,             0.00022091,             0.00022091,             0.00022091
                     37,                0.63313,                0.65078,                 1.0298,                 0.9382,                0.92864,                0.96565,                0.78565,                0.83061,                0.46145,                 1.0655,             0.00021762,             0.00021762,             0.00021762
                     38,                0.62087,                0.64939,                  1.024,                0.92687,                 0.9141,                0.95944,                0.80843,                0.74279,                 0.4777,                 1.0206,             0.00021432,             0.00021432,             0.00021432
                     39,                0.61995,                0.64546,                 1.0256,                0.90394,                0.86952,                0.94996,                0.80168,                0.76536,                0.58245,                 1.0191,             0.00021102,             0.00021102,             0.00021102
                     40,                0.62169,                0.65181,                 1.0269,                0.90711,                0.87133,                0.95785,                0.76896,                0.85606,                0.59656,                 1.0907,             0.00020773,             0.00020773,             0.00020773
                     41,                0.62298,                0.65074,                 1.0277,                0.90189,                0.90375,                 0.9705,                0.78487,                0.81739,                 0.5009,                 1.0538,             0.00020443,             0.00020443,             0.00020443
                     42,                0.60184,                0.61862,                 1.0147,                0.89093,                0.90219,                0.94786,                0.78552,                0.80831,                0.55296,                 1.0639,             0.00020113,             0.00020113,             0.00020113
                     43,                  0.598,                0.61147,                 1.0193,                0.91907,                0.88231,                0.94859,                0.77383,                0.84962,                0.53192,                 1.0737,             0.00019784,             0.00019784,             0.00019784
                     44,                0.60145,                  0.603,                  1.023,                0.89923,                0.91165,                0.96893,                0.78949,                 0.7981,                0.53143,                 1.0454,             0.00019454,             0.00019454,             0.00019454
                     45,                 0.6003,                0.60632,                 1.0152,                0.90561,                0.90782,                0.95494,                0.78835,                0.80807,                 0.5086,                 1.0583,             0.00019124,             0.00019124,             0.00019124
                     46,                0.60102,                0.60454,                 1.0244,                0.90883,                 0.8972,                0.95441,                0.81272,                0.72023,                0.52943,                 1.0071,             0.00018795,             0.00018795,             0.00018795
                     47,                0.59831,                0.58437,                 1.0169,                0.94016,                0.92479,                0.96412,                0.78613,                0.88451,                0.45254,                 1.0926,             0.00018465,             0.00018465,             0.00018465
                     48,                0.58268,                0.58478,                 1.0117,                0.92021,                0.91538,                0.96863,                0.80671,                0.79948,                0.48692,                 1.0459,             0.00018135,             0.00018135,             0.00018135
                     49,                0.59326,                0.55913,                 1.0143,                0.94807,                0.91917,                 0.9656,                0.82087,                0.72766,                0.46643,                 1.0065,             0.00017806,             0.00017806,             0.00017806
                     50,                0.58083,                0.55271,                 1.0132,                0.92454,                0.92576,                0.96919,                0.81293,                0.78534,                0.44729,                 1.0376,             0.00017476,             0.00017476,             0.00017476
                     51,                0.57785,                0.55594,                 1.0018,                0.92746,                0.85224,                0.95761,                0.77415,                0.86442,                0.56069,                 1.0873,             0.00017146,             0.00017146,             0.00017146
                     52,                0.56683,                 0.5473,                 1.0052,                0.90123,                0.93034,                0.96983,                0.78534,                0.85415,                0.46456,                 1.0804,             0.00016817,             0.00016817,             0.00016817
                     53,                0.57563,                0.53662,                 1.0091,                0.90939,                0.91494,                0.96137,                 0.7996,                0.80867,                 0.4708,                 1.0451,             0.00016487,             0.00016487,             0.00016487
                     54,                0.56354,                0.51925,                0.99799,                  0.914,                0.86372,                0.95268,                0.77801,                0.83138,                0.52044,                  1.062,             0.00016157,             0.00016157,             0.00016157
                     55,                0.56506,                0.51904,                0.99527,                0.90763,                0.87016,                0.94484,                0.77934,                0.81861,                  0.496,                 1.0637,             0.00015827,             0.00015827,             0.00015827
                     56,                0.56424,                0.52919,                 1.0002,                0.90129,                0.85171,                0.95419,                0.78235,                 0.8306,                0.57343,                 1.0724,             0.00015498,             0.00015498,             0.00015498
                     57,                0.55813,                0.51987,                 1.0001,                 0.9036,                0.90204,                0.95152,                0.78615,                 0.8154,                0.53805,                 1.0408,             0.00015168,             0.00015168,             0.00015168
                     58,                0.56239,                0.51917,                 1.0018,                0.91757,                0.88937,                0.95238,                0.77711,                0.84818,                 0.5054,                 1.0692,             0.00014838,             0.00014838,             0.00014838
                     59,                 0.5483,                0.49854,                0.99707,                0.89398,                0.86508,                0.94426,                0.79119,                0.75139,                0.54659,                 1.0168,             0.00014509,             0.00014509,             0.00014509
                     60,                0.53923,                0.48667,                0.99062,                0.90137,                0.85179,                0.95349,                0.79648,                0.77016,                0.51851,                 1.0251,             0.00014179,             0.00014179,             0.00014179
                     61,                0.53822,                 0.4921,                0.99013,                0.94653,                0.88294,                0.96041,                0.79024,                0.78519,                0.44807,                 1.0304,             0.00013849,             0.00013849,             0.00013849
                     62,                0.53991,                 0.4835,                0.98672,                0.89587,                0.89148,                0.95344,                0.78833,                 0.8071,                0.53991,                 1.0555,              0.0001352,              0.0001352,              0.0001352
                     63,                0.54248,                0.47873,                0.98918,                0.89071,                0.90739,                0.94948,                0.80211,                0.74294,                0.51644,                 1.0227,              0.0001319,              0.0001319,              0.0001319
                     64,                0.54556,                0.47894,                0.98978,                0.88568,                0.89385,                0.93925,                0.78075,                0.80004,                0.57403,                 1.0493,              0.0001286,              0.0001286,              0.0001286
                     65,                0.53792,                0.48391,                0.98816,                 0.9229,                 0.9035,                0.94158,                0.77499,                0.79534,                0.49217,                 1.0561,             0.00012531,             0.00012531,             0.00012531
                     66,                0.53994,                0.47325,                0.98928,                0.92655,                0.89425,                0.96404,                0.79851,                0.80156,                0.46548,                 1.0438,             0.00012201,             0.00012201,             0.00012201
                     67,                0.52319,                0.47545,                0.98035,                0.92294,                0.88234,                0.95698,                0.79293,                0.77485,                0.49839,                 1.0412,             0.00011871,             0.00011871,             0.00011871
                     68,                0.52192,                0.44739,                0.98686,                 0.9426,                0.88609,                0.95768,                0.78256,                0.85236,                0.48329,                 1.0709,             0.00011542,             0.00011542,             0.00011542
                     69,                0.51615,                0.45615,                0.97862,                 0.9215,                0.90348,                0.93414,                0.77992,                0.76744,                0.52528,                 1.0344,             0.00011212,             0.00011212,             0.00011212
                     70,                0.51154,                0.45421,                0.97804,                0.94411,                0.91703,                0.95768,                0.78846,                0.81624,                0.44902,                 1.0538,             0.00010882,             0.00010882,             0.00010882
                     71,                0.51831,                0.44809,                0.98872,                0.89501,                0.91706,                0.95814,                0.80592,                0.77601,                0.48568,                 1.0324,             0.00010553,             0.00010553,             0.00010553
                     72,                0.50838,                0.44532,                0.97999,                0.90506,                0.90494,                0.95164,                0.78747,                0.79839,                0.50213,                 1.0557,             0.00010223,             0.00010223,             0.00010223
                     73,                0.51393,                0.43758,                0.97893,                0.93088,                0.88507,                0.95133,                0.79592,                0.80275,                0.52435,                 1.0405,             9.8934e-05,             9.8934e-05,             9.8934e-05
                     74,                0.51173,                0.42847,                0.97888,                0.92398,                0.90611,                0.96988,                0.79244,                0.82753,                0.48941,                 1.0739,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     75,                0.50759,                0.41505,                0.97391,                0.91588,                0.88145,                0.92894,                0.77344,                0.76306,                0.53599,                 1.0227,             9.2341e-05,             9.2341e-05,             9.2341e-05
                     76,                0.49935,                 0.4127,                0.96981,                0.91096,                 0.8957,                0.94809,                0.78895,                0.78084,                0.49423,                 1.0487,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     77,                0.49948,                0.41462,                 0.9762,                0.90595,                0.88469,                0.94573,                 0.7908,                0.74791,                0.52922,                 1.0223,             8.5748e-05,             8.5748e-05,             8.5748e-05
                     78,                0.49484,                0.39918,                  0.969,                0.92236,                0.88126,                0.94279,                0.78841,                0.76143,                0.52381,                 1.0374,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     79,                0.48319,                0.39231,                0.96574,                0.93078,                0.89097,                0.94528,                0.79639,                0.75809,                0.52372,                 1.0301,             7.9154e-05,             7.9154e-05,             7.9154e-05
                     80,                0.48254,                0.39542,                0.96689,                0.92173,                0.89834,                0.95846,                0.80223,                0.75071,                 0.4939,                 1.0379,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     81,                0.47863,                0.38348,                0.96335,                0.90281,                0.89957,                0.93812,                0.78136,                0.77426,                0.52359,                 1.0552,             7.2561e-05,             7.2561e-05,             7.2561e-05
                     82,                0.47258,                0.37185,                0.96484,                0.91514,                0.90764,                 0.9638,                0.78646,                 0.8111,                0.50213,                 1.0951,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     83,                0.47909,                0.37598,                0.96243,                0.93407,                0.90087,                0.95697,                0.78536,                0.81826,                0.51573,                 1.0834,             6.5967e-05,             6.5967e-05,             6.5967e-05
                     84,                0.47214,                0.37173,                0.96062,                0.93315,                0.88867,                0.93786,                0.77231,                 0.8036,                0.49378,                 1.0716,             6.2671e-05,             6.2671e-05,             6.2671e-05
