                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62896,                 1.7847,                 1.1132,                   0.79,                0.73115,                0.85001,                0.69967,                0.67437,                0.99751,                 1.0512,              0.0001107,              0.0001107,              0.0001107
                      2,                0.58007,                 1.1713,                 1.0711,                0.77337,                0.76576,                0.85526,                0.70391,                0.66215,                0.87471,                 1.0777,             0.00021731,             0.00021731,             0.00021731
                      3,                0.57266,                 1.0966,                 1.0585,                0.73049,                0.76395,                0.85105,                0.69446,                0.71776,                  1.023,                 1.0751,             0.00031952,             0.00031952,             0.00031952
                      4,                0.54731,                0.98773,                 1.0478,                  0.797,                0.84503,                0.92343,                 0.7817,                0.61322,                0.64774,                 1.0025,             0.00031322,             0.00031322,             0.00031322
                      5,                0.51896,                0.89964,                  1.028,                0.86981,                0.80336,                0.90063,                 0.7754,                0.57933,                0.64023,                0.99048,             0.00031322,             0.00031322,             0.00031322
                      6,                  0.502,                0.83923,                 1.0168,                0.91155,                0.85639,                0.95731,                0.81142,                0.62238,                 0.5018,                 1.0182,             0.00030663,             0.00030663,             0.00030663
                      7,                0.46911,                0.74979,                 1.0035,                 0.8401,                0.88908,                0.92573,                0.77987,                0.62482,                0.55894,                 1.0177,             0.00030003,             0.00030003,             0.00030003
                      8,                0.46464,                0.71255,                 1.0003,                0.91337,                0.88349,                0.94672,                0.80934,                 0.6121,                0.53322,                 1.0136,             0.00029344,             0.00029344,             0.00029344
                      9,                0.44604,                0.66881,                0.99336,                0.85038,                0.92548,                0.95693,                0.81429,                0.62971,                0.48043,                 1.0126,             0.00028685,             0.00028685,             0.00028685
                     10,                0.44005,                0.64763,                  0.988,                0.90174,                0.88708,                0.95108,                0.81742,                0.56989,                0.44035,                0.99484,             0.00028025,             0.00028025,             0.00028025
                     11,                0.43037,                0.62122,                0.98314,                0.86179,                0.92417,                0.96538,                0.82656,                0.58813,                0.44677,                 1.0025,             0.00027366,             0.00027366,             0.00027366
                     12,                0.42425,                0.59749,                0.98429,                0.91015,                0.87484,                0.95773,                0.80433,                0.65675,                0.46584,                 1.0527,             0.00026707,             0.00026707,             0.00026707
                     13,                0.42456,                0.59448,                 0.9843,                 0.9037,                 0.9258,                0.96394,                0.81493,                0.64265,                0.42335,                 1.0226,             0.00026047,             0.00026047,             0.00026047
                     14,                0.41357,                0.56537,                0.97725,                0.91533,                0.93864,                 0.9686,                0.82823,                0.59136,                0.40949,                0.99018,             0.00025388,             0.00025388,             0.00025388
                     15,                0.40171,                 0.5467,                0.96993,                0.93799,                0.90422,                 0.9732,                0.81407,                0.64082,                0.41833,                 1.0097,             0.00024729,             0.00024729,             0.00024729
                     16,                0.39314,                0.53093,                0.96681,                 0.9543,                0.93429,                0.97995,                0.82841,                0.61864,                0.38157,                 1.0005,             0.00024069,             0.00024069,             0.00024069
                     17,                0.40037,                0.53461,                0.97027,                0.95635,                0.92759,                 0.9748,                0.82329,                0.61617,                0.38927,                 1.0238,              0.0002341,              0.0002341,              0.0002341
                     18,                0.39062,                0.51924,                0.96768,                0.97236,                 0.8973,                0.97255,                0.81246,                0.64944,                0.38331,                 1.0136,             0.00022751,             0.00022751,             0.00022751
                     19,                 0.3891,                0.49611,                0.96486,                0.97722,                0.94996,                0.98541,                0.84279,                0.59089,                0.32139,                0.99186,             0.00022091,             0.00022091,             0.00022091
                     20,                0.37748,                0.46935,                0.95845,                0.95047,                0.93014,                0.97173,                0.83008,                0.61119,                0.39152,                0.99057,             0.00021432,             0.00021432,             0.00021432
                     21,                0.37087,                0.47318,                0.95651,                0.94461,                0.92827,                0.98083,                 0.8508,                0.56543,                0.39817,                0.98894,             0.00020773,             0.00020773,             0.00020773
                     22,                0.37219,                0.46513,                0.95696,                0.93139,                 0.9331,                0.97589,                0.82445,                0.62203,                0.38203,                0.99819,             0.00020113,             0.00020113,             0.00020113
                     23,                0.36664,                0.44808,                0.95301,                0.95234,                0.94646,                0.98132,                0.85203,                0.56964,                 0.3282,                0.98224,             0.00019454,             0.00019454,             0.00019454
                     24,                0.35917,                0.43213,                0.95177,                0.92492,                0.95895,                0.98269,                0.84764,                0.55941,                0.33934,                0.97062,             0.00018795,             0.00018795,             0.00018795
                     25,                0.35997,                0.44009,                0.94955,                 0.9501,                0.91899,                0.97132,                0.82324,                0.62276,                0.37879,                 0.9934,             0.00018135,             0.00018135,             0.00018135
                     26,                0.35389,                0.42393,                0.95178,                0.95562,                0.93576,                0.97634,                0.82158,                0.64563,                0.36567,                 1.0244,             0.00017476,             0.00017476,             0.00017476
                     27,                0.35502,                 0.4216,                 0.9499,                0.95055,                0.93599,                0.97287,                0.83232,                0.60268,                0.35746,                0.99358,             0.00016817,             0.00016817,             0.00016817
                     28,                0.35093,                0.40269,                0.94544,                0.97814,                0.94113,                0.98503,                0.84345,                0.59052,                0.30696,                0.98548,             0.00016157,             0.00016157,             0.00016157
                     29,                0.34634,                0.39817,                0.94485,                0.96666,                0.91575,                0.97878,                0.83904,                0.60248,                0.34611,                0.99728,             0.00015498,             0.00015498,             0.00015498
                     30,                0.34597,                0.39105,                0.94587,                0.96041,                0.93021,                0.98212,                0.85326,                0.56184,                0.32563,                0.97765,             0.00014838,             0.00014838,             0.00014838
                     31,                0.33797,                0.38329,                0.94412,                0.96549,                0.94274,                0.97999,                0.83739,                0.59201,                0.33128,                0.98902,             0.00014179,             0.00014179,             0.00014179
