                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63021,                  1.812,                 1.1195,                0.72612,                0.76634,                0.84305,                 0.6824,                0.74251,                 1.0635,                 1.1231,             0.00011071,             0.00011071,             0.00011071
                      2,                0.58621,                 1.1833,                 1.0791,                 0.8154,                 0.7284,                0.87102,                  0.724,                0.66896,                 1.0305,                 1.0872,             0.00021732,             0.00021732,             0.00021732
                      3,                0.58521,                 1.0809,                 1.0731,                0.78513,                0.78341,                0.84178,                0.69373,                0.70638,                 1.0254,                  1.113,             0.00031953,             0.00031953,             0.00031953
                      4,                0.54705,                 1.0035,                  1.051,                0.81064,                0.79894,                0.88469,                0.72513,                0.72695,                0.82067,                 1.0822,             0.00031322,             0.00031322,             0.00031322
                      5,                0.52075,                0.88087,                 1.0339,                0.90089,                0.84931,                0.91778,                0.79693,                0.57385,                0.61545,                 1.0094,             0.00031322,             0.00031322,             0.00031322
                      6,                0.49566,                0.81879,                 1.0219,                0.89813,                0.87111,                0.94769,                0.77013,                0.75068,                0.61602,                 1.1051,             0.00030663,             0.00030663,             0.00030663
                      7,                 0.4786,                 0.7644,                 1.0163,                0.87168,                0.87332,                0.94492,                0.81627,                0.58421,                0.61259,                 1.0202,             0.00030003,             0.00030003,             0.00030003
                      8,                 0.4613,                 0.7081,                 1.0016,                0.90992,                0.86183,                0.94948,                0.77342,                0.71776,                0.55747,                 1.0838,             0.00029344,             0.00029344,             0.00029344
                      9,                0.44588,                0.68135,                0.99647,                0.91012,                 0.8588,                 0.9421,                0.79368,                0.68882,                0.50409,                 1.0582,             0.00028685,             0.00028685,             0.00028685
                     10,                0.43191,                0.64623,                0.98859,                0.89477,                0.87314,                0.95326,                0.81477,                0.61037,                 0.5691,                 1.0261,             0.00028025,             0.00028025,             0.00028025
                     11,                0.42908,                0.62121,                0.98699,                0.93609,                 0.9217,                0.96733,                0.82039,                0.61433,                 0.4314,                 1.0153,             0.00027366,             0.00027366,             0.00027366
                     12,                0.41917,                0.60744,                0.98458,                0.90513,                0.90245,                0.96747,                0.81235,                0.66025,                 0.4593,                 1.0507,             0.00026707,             0.00026707,             0.00026707
                     13,                0.42024,                0.58334,                  0.984,                 0.9018,                0.91696,                 0.9612,                0.82427,                0.60863,                0.42187,                  1.018,             0.00026047,             0.00026047,             0.00026047
                     14,                0.41183,                0.57014,                0.97963,                 0.9213,                0.92073,                0.95398,                 0.8026,                0.66488,                0.45526,                 1.0435,             0.00025388,             0.00025388,             0.00025388
                     15,                0.40138,                0.54778,                 0.9759,                0.89901,                0.92153,                0.96943,                0.83504,                0.57868,                0.40517,                 1.0058,             0.00024729,             0.00024729,             0.00024729
                     16,                0.39573,                0.53262,                0.97409,                0.93916,                0.94342,                0.97572,                0.83384,                0.62747,                0.38439,                 1.0231,             0.00024069,             0.00024069,             0.00024069
                     17,                0.38809,                0.50784,                0.96839,                0.90381,                0.93839,                0.97574,                0.83449,                0.62427,                0.42332,                 1.0225,              0.0002341,              0.0002341,              0.0002341
                     18,                0.38558,                0.50459,                0.97124,                0.96513,                0.96034,                0.98571,                0.84529,                0.60989,                 0.3235,                 1.0018,             0.00022751,             0.00022751,             0.00022751
                     19,                0.38167,                0.49395,                0.96617,                0.92669,                0.95253,                 0.9729,                0.83977,                0.57888,                0.34902,                0.99731,             0.00022091,             0.00022091,             0.00022091
                     20,                0.37621,                 0.4853,                0.96199,                0.95065,                0.95122,                0.97969,                0.82919,                0.64133,                0.35144,                 1.0261,             0.00021432,             0.00021432,             0.00021432
                     21,                0.37816,                0.48597,                0.96661,                0.94863,                0.92994,                0.97938,                0.84689,                0.58853,                0.40204,                 1.0074,             0.00020773,             0.00020773,             0.00020773
                     22,                0.36942,                0.45993,                0.96143,                0.94927,                 0.9313,                 0.9826,                0.84963,                0.58357,                0.38525,                 1.0045,             0.00020113,             0.00020113,             0.00020113
                     23,                0.36748,                0.45162,                0.96209,                0.93578,                 0.9042,                0.96807,                0.82075,                0.61035,                0.45788,                 1.0016,             0.00019454,             0.00019454,             0.00019454
                     24,                0.35824,                0.43239,                0.95395,                0.92676,                 0.9427,                0.96596,                0.81673,                0.64084,                 0.3798,                 1.0398,             0.00018795,             0.00018795,             0.00018795
                     25,                0.35111,                 0.4385,                0.95258,                0.93087,                0.93711,                0.98233,                0.83628,                0.62219,                0.39565,                 1.0479,             0.00018135,             0.00018135,             0.00018135
                     26,                0.35883,                0.43478,                0.95729,                0.92657,                0.94174,                 0.9651,                0.81852,                0.63091,                0.41024,                 1.0234,             0.00017476,             0.00017476,             0.00017476
                     27,                0.34927,                0.42013,                0.94946,                0.93722,                0.95167,                0.98431,                0.83415,                0.61987,                 0.3534,                 1.0383,             0.00016817,             0.00016817,             0.00016817
                     28,                0.34922,                0.41061,                0.95125,                0.92978,                0.94316,                0.97419,                 0.8331,                0.62499,                0.38882,                 1.0352,             0.00016157,             0.00016157,             0.00016157
                     29,                0.33758,                0.38823,                0.94604,                0.94272,                0.94288,                 0.9631,                0.82989,                0.57491,                0.34888,                 1.0094,             0.00015498,             0.00015498,             0.00015498
                     30,                0.33723,                 0.3967,                0.94611,                0.97202,                0.95315,                  0.983,                0.84387,                0.61174,                0.32393,                 1.0199,             0.00014838,             0.00014838,             0.00014838
                     31,                0.33205,                0.38252,                0.94231,                0.92884,                0.95413,                0.96431,                0.81685,                0.64509,                 0.3846,                 1.0304,             0.00014179,             0.00014179,             0.00014179
                     32,                 0.3319,                0.37512,                0.94182,                 0.9328,                0.93632,                0.97434,                 0.8337,                0.62643,                0.40326,                 1.0388,              0.0001352,              0.0001352,              0.0001352
                     33,                0.32727,                  0.365,                0.94219,                0.93243,                0.96233,                0.98121,                0.83538,                0.62066,                0.32557,                 1.0283,              0.0001286,              0.0001286,              0.0001286
                     34,                0.32364,                0.36244,                0.93904,                 0.9641,                 0.9581,                0.98186,                0.83937,                0.60442,                0.32724,                 1.0202,             0.00012201,             0.00012201,             0.00012201
                     35,                0.32301,                 0.3519,                 0.9417,                0.96046,                0.94208,                0.97623,                0.83793,                0.61917,                0.35016,                 1.0326,             0.00011542,             0.00011542,             0.00011542
                     36,                0.31825,                0.34899,                   0.94,                0.94955,                0.93222,                0.97183,                0.83657,                0.60994,                0.37539,                 1.0323,             0.00010882,             0.00010882,             0.00010882
                     37,                0.31488,                0.33883,                0.93686,                0.94971,                0.94263,                0.98089,                0.84334,                0.60175,                0.33553,                 1.0257,             0.00010223,             0.00010223,             0.00010223
                     38,                0.31456,                0.33717,                 0.9363,                0.93576,                0.91484,                0.96497,                0.83428,                0.59523,                0.40477,                 1.0267,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     39,                0.30898,                 0.3236,                0.93465,                0.95471,                0.91708,                0.97469,                0.82749,                0.63836,                0.36974,                 1.0472,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     40,                0.30776,                0.31167,                0.93275,                0.97109,                0.93317,                0.97907,                0.84363,                0.59784,                0.31838,                 1.0183,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     41,                0.21158,                0.13056,                0.87382,                0.94398,                0.91905,                0.96836,                0.84167,                0.58526,                  0.385,                 1.0116,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     42,                0.21012,                0.12819,                0.87066,                0.95616,                0.92157,                0.97752,                0.84497,                0.61224,                 0.3725,                 1.0389,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     43,                0.20368,                0.12038,                0.87057,                0.97192,                0.95459,                0.98617,                0.85366,                0.59146,                0.29128,                 1.0119,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     44,                0.20081,                0.11797,                0.86858,                0.96174,                0.93659,                0.97998,                0.84481,                0.60441,                0.32736,                 1.0173,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     45,                0.19532,                0.11333,                0.86386,                0.96373,                0.93914,                 0.9812,                0.84752,                0.60172,                0.32108,                 1.0367,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     46,                0.19097,                0.11105,                 0.8663,                0.95977,                0.92652,                0.97879,                0.84827,                0.58516,                0.34324,                  1.022,              4.289e-05,              4.289e-05,              4.289e-05
                     47,                0.18807,                0.10787,                0.86106,                 0.9547,                0.91762,                0.97792,                0.84122,                0.61241,                0.33905,                 1.0367,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     48,                0.18331,                0.10475,                0.86321,                0.93595,                0.92618,                0.97012,                0.83452,                0.60156,                0.35888,                 1.0341,             2.9704e-05,             2.9704e-05,             2.9704e-05
