                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62344,                 1.8151,                 1.1165,                0.73577,                0.65497,                0.76161,                0.66874,                0.58108,                 1.3471,                 1.0343,             0.00011072,             0.00011072,             0.00011072
                      2,                0.57512,                  1.201,                 1.0794,                0.73101,                0.69866,                0.77543,                0.64147,                0.65884,                 1.1078,                 1.0944,             0.00021733,             0.00021733,             0.00021733
                      3,                0.55942,                 1.1041,                 1.0619,                0.79473,                0.68382,                0.79303,                0.67263,                0.62292,                0.94928,                 1.0736,             0.00031955,             0.00031955,             0.00031955
                      4,                0.53696,                 1.0019,                 1.0495,                0.82682,                0.89188,                0.92285,                0.75298,                0.72487,                0.65562,                 1.1015,             0.00031322,             0.00031322,             0.00031322
                      5,                  0.511,                0.90144,                 1.0308,                0.84786,                0.82785,                0.89374,                0.73576,                0.71148,                0.72245,                  1.101,             0.00031322,             0.00031322,             0.00031322
                      6,                0.48144,                0.81512,                 1.0185,                0.87791,                 0.8796,                0.91239,                0.79309,                0.57679,                0.55358,                 1.0104,             0.00030663,             0.00030663,             0.00030663
                      7,                0.46416,                0.76357,                 1.0093,                0.85676,                0.82077,                0.89687,                 0.7744,                0.58645,                0.64479,                  1.011,             0.00030003,             0.00030003,             0.00030003
                      8,                0.44893,                0.70369,                 1.0032,                0.90041,                0.89279,                 0.9508,                0.80357,                0.63939,                 0.4885,                  1.032,             0.00029344,             0.00029344,             0.00029344
                      9,                0.43783,                0.67673,                0.99792,                0.85922,                0.90426,                 0.9266,                0.78976,                0.61887,                0.52354,                 1.0205,             0.00028685,             0.00028685,             0.00028685
                     10,                0.42737,                0.64805,                0.99217,                0.87525,                0.92179,                0.94861,                0.80059,                 0.6434,                0.45204,                 1.0435,             0.00028025,             0.00028025,             0.00028025
                     11,                0.42296,                0.62127,                0.99206,                0.88231,                0.91794,                 0.9342,                 0.7859,                0.63914,                0.48902,                  1.036,             0.00027366,             0.00027366,             0.00027366
                     12,                0.41377,                0.60584,                 0.9855,                0.87668,                0.88705,                0.92766,                0.78462,                0.62049,                0.51193,                 1.0322,             0.00026707,             0.00026707,             0.00026707
                     13,                 0.4011,                0.57784,                0.97762,                0.88117,                0.89674,                  0.945,                0.81007,                0.61852,                0.48585,                 1.0311,             0.00026047,             0.00026047,             0.00026047
                     14,                0.39824,                0.56753,                0.97606,                0.87709,                0.91762,                0.94369,                0.79783,                0.64074,                0.43096,                 1.0362,             0.00025388,             0.00025388,             0.00025388
                     15,                0.38704,                0.54279,                 0.9711,                0.92906,                0.91751,                0.96352,                0.81816,                0.64929,                0.38693,                 1.0446,             0.00024729,             0.00024729,             0.00024729
                     16,                0.39307,                0.53751,                0.97335,                 0.8839,                0.92282,                0.94891,                0.81759,                0.60311,                0.46009,                 1.0145,             0.00024069,             0.00024069,             0.00024069
                     17,                0.37958,                0.51574,                0.97032,                 0.9146,                0.88591,                0.95398,                0.81355,                0.60671,                0.45776,                  1.016,              0.0002341,              0.0002341,              0.0002341
                     18,                  0.372,                0.49735,                0.96379,                0.96665,                0.90569,                0.96651,                0.82542,                  0.618,                0.38351,                  1.025,             0.00022751,             0.00022751,             0.00022751
